location,iso_code,date,people_fully_vaccinated,year
Afghanistan,AFG,2020/12/02,0,2020
Afghanistan,AFG,2020/12/03,0,2020
Afghanistan,AFG,2020/12/04,0,2020
Afghanistan,AFG,2020/12/05,0,2020
Afghanistan,AFG,2020/12/06,0,2020
Afghanistan,AFG,2020/12/07,0,2020
Afghanistan,AFG,2020/12/08,0,2020
Afghanistan,AFG,2020/12/09,0,2020
Afghanistan,AFG,2020/12/10,0,2020
Afghanistan,AFG,2020/12/11,0,2020
Afghanistan,AFG,2020/12/12,0,2020
Afghanistan,AFG,2020/12/13,0,2020
Afghanistan,AFG,2020/12/14,0,2020
Afghanistan,AFG,2020/12/15,0,2020
Afghanistan,AFG,2020/12/16,0,2020
Afghanistan,AFG,2020/12/17,0,2020
Afghanistan,AFG,2020/12/18,0,2020
Afghanistan,AFG,2020/12/19,0,2020
Afghanistan,AFG,2020/12/20,0,2020
Afghanistan,AFG,2020/12/21,0,2020
Afghanistan,AFG,2020/12/22,0,2020
Afghanistan,AFG,2020/12/23,0,2020
Afghanistan,AFG,2020/12/24,0,2020
Afghanistan,AFG,2020/12/25,0,2020
Afghanistan,AFG,2020/12/26,0,2020
Afghanistan,AFG,2020/12/27,0,2020
Afghanistan,AFG,2020/12/28,0,2020
Afghanistan,AFG,2020/12/29,0,2020
Afghanistan,AFG,2020/12/30,0,2020
Afghanistan,AFG,2020/12/31,0,2020
Afghanistan,AFG,2021/01/01,0,2021
Afghanistan,AFG,2021/01/02,0,2021
Afghanistan,AFG,2021/01/03,0,2021
Afghanistan,AFG,2021/01/04,0,2021
Afghanistan,AFG,2021/01/05,0,2021
Afghanistan,AFG,2021/01/06,0,2021
Afghanistan,AFG,2021/01/07,0,2021
Afghanistan,AFG,2021/01/08,0,2021
Afghanistan,AFG,2021/01/09,0,2021
Afghanistan,AFG,2021/01/10,0,2021
Afghanistan,AFG,2021/01/11,0,2021
Afghanistan,AFG,2021/01/12,0,2021
Afghanistan,AFG,2021/01/13,0,2021
Afghanistan,AFG,2021/01/14,0,2021
Afghanistan,AFG,2021/01/15,0,2021
Afghanistan,AFG,2021/01/16,0,2021
Afghanistan,AFG,2021/01/17,0,2021
Afghanistan,AFG,2021/01/18,0,2021
Afghanistan,AFG,2021/01/19,0,2021
Afghanistan,AFG,2021/01/20,0,2021
Afghanistan,AFG,2021/01/21,0,2021
Afghanistan,AFG,2021/01/22,0,2021
Afghanistan,AFG,2021/01/23,0,2021
Afghanistan,AFG,2021/01/24,0,2021
Afghanistan,AFG,2021/01/25,0,2021
Afghanistan,AFG,2021/01/26,0,2021
Afghanistan,AFG,2021/01/27,0,2021
Afghanistan,AFG,2021/01/28,0,2021
Afghanistan,AFG,2021/01/29,0,2021
Afghanistan,AFG,2021/01/30,0,2021
Afghanistan,AFG,2021/01/31,0,2021
Afghanistan,AFG,2021/02/01,0,2021
Afghanistan,AFG,2021/02/02,0,2021
Afghanistan,AFG,2021/02/03,0,2021
Afghanistan,AFG,2021/02/04,0,2021
Afghanistan,AFG,2021/02/05,0,2021
Afghanistan,AFG,2021/02/06,0,2021
Afghanistan,AFG,2021/02/07,0,2021
Afghanistan,AFG,2021/02/08,0,2021
Afghanistan,AFG,2021/02/09,0,2021
Afghanistan,AFG,2021/02/10,0,2021
Afghanistan,AFG,2021/02/11,0,2021
Afghanistan,AFG,2021/02/12,0,2021
Afghanistan,AFG,2021/02/13,0,2021
Afghanistan,AFG,2021/02/14,0,2021
Afghanistan,AFG,2021/02/15,0,2021
Afghanistan,AFG,2021/02/16,0,2021
Afghanistan,AFG,2021/02/17,0,2021
Afghanistan,AFG,2021/02/18,0,2021
Afghanistan,AFG,2021/02/19,0,2021
Afghanistan,AFG,2021/02/20,0,2021
Afghanistan,AFG,2021/02/21,0,2021
Afghanistan,AFG,2021/02/22,0,2021
Afghanistan,AFG,2021/02/23,,2021
Afghanistan,AFG,2021/02/24,,2021
Afghanistan,AFG,2021/02/25,,2021
Afghanistan,AFG,2021/02/26,,2021
Afghanistan,AFG,2021/02/27,,2021
Afghanistan,AFG,2021/02/28,,2021
Afghanistan,AFG,2021/03/01,,2021
Afghanistan,AFG,2021/03/02,,2021
Afghanistan,AFG,2021/03/03,,2021
